,Latitude,Longitude,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
51,30.78,78.62,Lata,IN,60.11,100,88,0.38
52,51.22,37.86,Sorokino,RU,59.12,57,0,8.21
53,60.79,-161.76,Bethel,US,53.6,81,90,10.29
54,64.42,-173.23,Provideniya,RU,48.2,76,90,8.95
55,-42.48,-73.76,Castro,CL,47.51,100,100,3.74
56,6.8,-58.16,Georgetown,GY,77.0,94,40,4.7
57,22.08,-159.32,Kapaa,US,84.2,94,90,12.75
58,-33.59,26.89,Port Alfred,ZA,53.0,100,92,7.09
59,-0.91,122.88,Biak,ID,73.97,100,92,5.41
60,11.67,92.75,Port Blair,IN,79.91,100,92,20.74
61,-33.02,27.91,East London,ZA,56.06,100,100,11.23
62,-42.88,147.33,Hobart,AU,51.8,66,75,12.75
63,-0.74,-90.35,Puerto Ayora,EC,73.97,92,8,13.13
64,19.71,-155.08,Hilo,US,84.2,79,90,11.41
65,-20.21,57.76,Quatre Cocos,MU,66.2,82,40,6.93
66,71.98,102.47,Khatanga,RU,55.16,83,36,9.89
67,44.41,0.7,Villeneuve-sur-Lot,FR,66.2,82,75,5.82
68,4.12,43.89,Xuddur,SO,73.43,53,0,13.24
69,-46.28,169.85,Kaitangata,NZ,41.03,78,0,9.22
70,37.72,-25.43,Vila Franca do Campo,PT,69.8,77,20,4.7
71,16.74,121.63,San Isidro,PH,76.13,85,88,3.51
72,52.61,1.73,Great Yarmouth,GB,55.4,100,88,6.93
73,13.08,109.3,Tuy Hoa,VN,78.92,94,56,17.83
74,52.18,7.04,Epe,DE,69.8,64,75,20.8
75,-33.93,18.42,Cape Town,ZA,51.8,71,0,11.41
76,69.49,88.39,Talnakh,RU,52.01,88,92,12.57
77,37.14,-8.45,Lagoa,PT,77.0,47,0,14.99
78,42.77,-9.06,Muros,ES,57.2,87,20,6.93
79,67.67,53.09,Naryan-Mar,RU,52.82,92,92,4.85
80,19.09,74.75,Ahmadnagar,IN,73.61,85,64,10.33
81,50.78,121.52,Genhe,CN,47.87,86,0,3.4
82,-38.31,-60.23,Barrow,AR,46.52,69,0,7.09
83,-20.63,-46.0,Ponta do Sol,BR,67.31,86,12,3.4
84,51.1,6.95,Langenfeld,DE,68.0,72,75,24.16
85,37.93,102.64,Wuwei,CN,61.1,86,92,4.41
86,-5.81,-35.21,Natal,BR,75.2,88,75,13.87
87,-0.6,73.08,Hithadhoo,MV,82.61,100,32,5.75
88,-35.55,138.62,Victor Harbor,AU,57.2,35,0,27.51
89,-29.95,-71.34,Coquimbo,CL,60.8,67,0,2.24
90,11.54,-72.91,Riohacha,CO,96.8,39,20,20.8
91,5.28,115.24,Victoria,BN,78.8,94,75,6.42
92,53.59,25.82,Navahrudak,BY,71.36,58,0,12.68
93,22.31,89.79,Sarankhola,BD,80.9,93,92,3.4
94,9.33,122.86,Santa Catalina,PH,74.87,90,76,3.96
95,-34.58,150.85,Flinders,AU,48.2,61,0,12.75
96,33.61,-114.59,Blythe,US,98.6,39,1,12.75
97,55.1,-105.3,La Ronge,CA,84.2,42,40,10.29
98,-16.48,-151.75,Faanui,PF,82.43,92,80,9.89
99,63.75,-68.52,Iqaluit,CA,41.0,86,75,10.29
100,37.33,-87.5,Madisonville,US,82.4,74,40,4.7
101,67.67,12.69,Sorland,NO,55.4,82,75,16.11
102,-34.05,23.37,Plettenberg Bay,ZA,53.36,100,92,12.68
103,39.62,-77.74,Vardo,US,89.6,43,40,6.93
104,-5.2,-35.46,Touros,BR,75.32,95,88,13.91
105,49.72,-86.95,Geraldton,CA,75.2,64,75,6.93
106,70.47,-68.59,Clyde River,CA,41.0,86,90,11.41
107,38.52,-28.7,Ribeira Grande,PT,75.2,78,40,4.7
108,35.73,140.83,Hasaki,JP,80.6,88,75,8.05
109,25.26,63.48,Pasni,PK,80.27,100,88,5.75
110,-20.47,22.7,Sehithwa,BW,67.76,34,8,11.56
111,33.97,36.66,Yabrud,SY,80.6,28,0,6.93
112,64.57,143.24,Ust-Nera,RU,46.43,82,0,2.62
113,42.04,-87.69,Evanston,US,89.6,52,75,12.75
114,38.72,112.71,Yuanping,CN,67.22,98,92,2.28
115,61.09,72.61,Nefteyugansk,RU,57.2,87,75,13.42
116,-34.53,20.04,Bredasdorp,ZA,44.6,87,68,3.36
117,-33.21,138.6,Jamestown,AU,54.26,41,0,22.75
118,42.79,75.7,Kemin,KG,50.84,70,0,1.72
119,49.28,120.73,Yakeshi,CN,51.83,86,0,2.84
120,-2.03,-79.75,Olinda,EC,85.49,65,88,6.2
121,39.95,-94.76,Kodiak,US,91.4,52,1,4.7
122,6.07,-8.13,Zwedru,LR,71.27,93,88,8.55
123,55.74,-97.86,Thompson,CA,84.2,39,20,9.17
124,47.55,-2.56,Ambon,FR,60.8,67,0,6.93
125,6.12,81.12,Hambantota,LK,79.01,98,56,14.03
126,52.8,51.16,Neftegorsk,RU,56.87,69,8,9.44
127,-25.41,-70.49,Taltal,CL,67.31,70,0,2.06
128,37.15,111.77,Xiaoyi,CN,69.11,99,88,2.39
129,45.63,39.89,Novomalorossiyskaya,RU,73.61,36,0,13.69
130,27.66,120.56,Kunyang,CN,77.21,100,0,2.62
131,29.16,16.14,Waddan,LY,87.83,36,0,11.45
132,68.36,-133.71,Inuvik,CA,44.6,65,90,3.36
133,61.6,-149.11,Palmer,US,62.6,67,75,2.73
134,14.1,-1.63,Djibo,BF,77.93,79,48,8.88
135,71.97,114.09,Saskylakh,RU,53.63,87,0,3.06
136,-18.48,-70.32,Arica,CL,68.0,67,0,10.29
137,39.45,22.34,Saint George,GR,69.8,64,20,4.7
138,10.5,99.18,Chumphon,TH,74.96,96,92,7.65
139,-35.1,173.78,Kaeo,NZ,52.01,91,48,3.18
140,-37.88,147.99,Lakes Entrance,AU,46.79,90,8,8.21
141,50.7,-127.42,Port Hardy,CA,66.2,68,20,4.7
142,-38.95,-68.06,Neuquen,AR,55.4,35,0,12.75
143,-46.13,167.69,Tuatapere,NZ,43.37,100,12,7.43
144,53.23,-0.54,Lincoln,GB,62.6,72,0,8.05
145,-7.52,-72.89,Parana,BR,89.6,55,40,4.7
146,30.87,-91.02,Clinton,US,91.4,88,90,3.36
147,-33.52,-53.37,Santa Vitoria do Palmar,BR,53.99,89,92,30.69
148,10.49,-68.2,Moron,VE,82.4,61,40,8.99
149,54.43,31.9,Sobolevo,RU,60.29,69,0,7.43
150,62.0,132.43,Churapcha,RU,59.03,90,44,3.18
151,-1.84,31.66,Muleba,TZ,68.0,94,0,3.4
152,51.26,-80.61,Moose Factory,CA,64.4,77,75,9.17
153,-9.65,120.26,Waingapu,ID,68.39,94,20,4.63
154,54.11,-9.15,Ballina,IE,53.81,84,68,8.43
155,34.64,-120.46,Lompoc,US,98.6,16,1,6.93
156,64.86,-147.8,College,US,59.0,47,75,5.82
157,72.79,-56.15,Upernavik,GL,38.78,98,92,16.04
158,62.72,129.66,Namtsy,RU,57.77,85,0,2.95
159,57.72,60.65,Petrokamenskoye,RU,52.19,97,92,11.01
160,53.65,-115.58,Mackay,CA,86.0,45,5,2.24
161,-42.78,147.06,New Norfolk,AU,51.8,66,75,12.75
162,46.45,135.83,Vostok,RU,62.36,79,64,2.28
163,-18.77,46.05,Tsiroanomandidy,MG,56.42,44,0,6.53
164,29.8,66.85,Mastung,PK,69.11,54,44,0.94
165,65.28,-126.83,Norman Wells,CA,51.8,81,90,10.29
166,-33.69,-53.46,Chuy,UY,53.99,89,92,30.69
167,16.97,7.99,Agadez,NE,81.08,64,8,4.85
168,33.93,134.5,Katsuura,JP,79.55,89,56,2.06
169,39.31,-74.98,Port Elizabeth,US,87.8,55,20,10.29
170,60.73,77.6,Strezhevoy,RU,59.0,100,40,8.95
171,40.34,-75.93,Reading,US,87.8,52,40,8.05
172,34.92,32.53,Lasa,CY,82.4,78,0,5.82
173,10.52,10.33,Bure,NG,70.46,98,80,3.18
174,38.09,-102.62,Lamar,US,87.8,27,1,8.05
175,13.22,-59.52,Bathsheba,BB,86.0,66,20,13.87
176,57.69,71.17,Ust-Ishim,RU,62.09,96,68,5.75
177,63.59,-135.9,Mayo,CA,50.0,87,90,10.29
178,51.02,11.51,Apolda,DE,73.4,49,0,9.17
179,17.01,54.1,Salalah,OM,77.0,94,90,3.36
180,45.6,-0.6,Souillac,FR,64.4,72,0,8.05
181,62.45,-114.38,Yellowknife,CA,66.2,59,75,10.29
182,71.0,24.66,Havoysund,NO,50.0,100,75,3.36
183,46.42,3.91,Saint-Francois,FR,62.6,67,0,3.36
184,69.44,-133.03,Tuktoyaktuk,CA,42.8,87,90,11.41
185,10.0,123.41,Ronda,PH,81.35,94,68,11.68
186,-25.34,-57.51,San Lorenzo,PY,64.4,45,0,14.99
187,31.46,-103.39,Barstow,US,91.4,38,1,9.17
188,63.44,-20.27,Vestmannaeyjar,IS,55.79,76,0,11.9
189,-10.76,-37.31,Areia Branca,BR,78.8,69,0,11.41
190,33.08,-16.33,Camacha,PT,71.6,64,20,8.05
191,5.77,73.38,Manadhoo,MV,84.77,93,80,14.25
192,-3.28,-39.27,Trairi,BR,79.19,100,0,19.06
193,-8.15,159.59,Buala,SB,78.47,100,92,6.98
194,-2.42,115.25,Amuntai,ID,71.72,96,68,1.61
195,67.47,78.7,Tazovskiy,RU,48.05,86,24,18.5
196,6.19,-67.49,Puerto Carreno,CO,87.8,66,40,3.36
197,53.87,39.17,Shirokiy,RU,54.53,81,0,2.62
198,45.58,-122.35,Washougal,US,87.8,45,1,4.7
199,47.73,8.78,Gottmadingen,CH,66.2,93,0,3.36
200,5.21,-4.42,Jackville,CI,77.0,88,20,6.93
201,63.84,-22.43,Grindavik,IS,50.0,76,75,8.05
202,-22.45,18.97,Gobabis,NA,60.83,26,0,16.93
203,14.9,120.78,Palimbang,PH,78.8,94,90,8.05
204,38.18,-1.13,Fortuna,ES,80.6,88,0,4.7
205,33.83,-87.28,Jasper,US,87.8,66,64,6.31
206,6.99,-73.05,Piedecuesta,CO,82.4,61,75,6.93
207,69.22,-51.1,Ilulissat,GL,39.2,93,75,3.36
208,-20.34,57.76,Bambous Virieux,MU,66.2,82,40,6.93
209,-7.95,110.28,Bambanglipuro,ID,71.99,90,92,2.95
210,13.47,22.2,Adre,TD,71.27,88,12,5.64
211,-31.97,141.45,Broken Hill,AU,48.86,60,0,17.72
212,-28.95,153.24,Codrington,AU,40.04,85,0,2.95
213,59.1,26.19,Vao,EE,71.36,64,36,5.64
214,-43.03,147.26,Margate,AU,51.8,66,75,12.75
215,56.73,85.44,Oktyabrskoye,RU,55.88,78,0,4.63
216,44.02,-92.46,Rochester,US,89.6,40,75,6.93
217,-34.0,24.73,Kruisfontein,ZA,53.72,100,92,12.46
218,42.36,-71.06,Boston,US,91.4,49,20,5.82
219,50.56,-96.99,Husavik,CA,80.45,77,0,3.85
220,26.33,43.97,Buraydah,SA,98.6,23,0,10.29
221,-14.25,129.55,Port Keats,AU,57.95,99,0,5.08
222,31.35,27.25,Marsa Matruh,EG,82.4,74,0,6.93
223,48.03,40.04,Almaznyy,RU,67.58,50,0,11.9
224,13.06,44.88,Lahij,YE,82.97,49,8,5.08
225,9.49,50.81,Bandarbeyla,SO,79.28,88,0,34.94
226,11.0,122.67,Dingle,PH,77.48,92,88,8.55
227,-35.85,-71.6,Linares,CL,57.77,80,12,2.17
228,54.57,-2.89,Sandwick,GB,51.8,81,36,12.75
229,-2.02,147.27,Lorengau,PG,82.34,100,48,9.55
230,-41.87,-73.83,Ancud,CL,47.96,100,100,3.4
231,-2.52,32.9,Mwanza,TZ,73.4,83,20,4.18
232,-16.11,167.42,Lakatoro,VU,74.33,92,24,7.54
233,14.69,-16.54,Gat,SN,77.84,85,80,12.68
234,-35.17,173.16,Ahipara,NZ,53.45,97,88,3.06
235,14.4,46.47,Marzuq,YE,70.46,58,76,2.95
236,37.57,126.98,Seoul,KR,80.6,88,88,5.82
237,-14.06,32.43,Chadiza,ZM,63.53,48,0,7.65
238,33.72,135.99,Shingu,JP,82.07,99,48,5.97
239,32.27,-107.76,Deming,US,80.6,44,1,10.29
240,67.46,153.71,Srednekolymsk,RU,49.49,74,0,3.62
241,42.97,140.51,Iwanai,JP,68.75,100,92,6.42
242,63.75,121.63,Vilyuysk,RU,51.29,98,92,3.74
243,-9.01,-35.22,Maragogi,BR,75.14,84,64,7.99
244,61.99,-49.67,Paamiut,GL,44.09,94,0,19.84
245,68.75,161.3,Cherskiy,RU,45.17,72,0,2.73
246,45.36,-73.48,Saint-Philippe,CA,80.6,57,1,19.46
247,60.47,7.07,Eidfjord,NO,43.19,89,56,1.72
248,5.71,-77.27,Nuqui,CO,77.66,100,92,7.65
249,28.58,109.69,Tuzha,CN,71.36,91,0,2.39
250,41.63,-85.0,Angola,US,84.2,62,90,10.29
251,54.51,30.43,Orsha,BY,63.35,63,0,8.77
252,43.35,52.85,Zhanaozen,KZ,83.33,39,80,8.43
253,-38.6,145.59,Wonthaggi,AU,56.87,54,48,11.79
254,-5.25,14.87,Mbanza-Ngungu,CD,72.53,75,92,3.4
255,64.84,-147.72,Fairbanks,US,59.0,47,75,5.82
256,27.88,102.25,Xichang,CN,57.41,97,88,1.39
257,-5.36,104.98,Pringsewu,ID,73.16,91,56,2.39
258,17.54,120.52,San Quintin,PH,71.36,96,92,5.53
259,-17.73,-39.27,Caravelas,BR,76.76,98,0,16.04
260,2.04,45.34,Mogadishu,SO,77.3,99,88,21.3
261,-3.36,135.5,Nabire,ID,67.67,99,88,1.95
262,61.68,96.39,Baykit,RU,48.41,82,8,4.18
263,23.99,-104.67,Constitucion,MX,71.6,56,90,6.93
264,-31.43,152.91,Port Macquarie,AU,44.6,87,0,4.7
265,13.79,-15.05,Nioro,GM,77.03,86,68,12.91
266,51.65,84.32,Soloneshnoye,RU,52.37,86,0,2.17
267,37.17,-99.65,Sitka,US,92.69,52,0,5.41
268,35.63,111.36,Houma,CN,73.07,95,64,2.62
269,-6.21,149.55,Kandrian,PG,74.69,97,80,6.42
270,38.42,77.24,Shache,CN,73.79,58,44,5.75
271,-6.53,110.7,Mlonggo,ID,75.23,100,56,6.53
272,43.26,-79.87,Hamilton,CA,84.2,61,75,9.17
273,35.76,139.74,Kita,JP,80.6,88,20,12.75
274,7.67,36.84,Jimma,ET,53.45,92,8,2.28
275,2.33,-72.63,El Retorno,CO,82.34,65,56,0.94
276,50.23,-63.6,Havre-Saint-Pierre,CA,62.6,88,90,6.93
277,-31.47,19.78,Calvinia,ZA,31.49,71,8,4.63
278,-4.22,142.82,Ambunti,PG,74.06,99,32,2.28
279,-3.36,29.37,Bujumbura,BI,56.78,99,0,2.17
280,-13.55,23.12,Zambezi,ZM,64.7,39,0,6.42
281,-11.38,43.28,Mitsamiouli,KM,73.97,100,0,7.54
282,54.34,101.51,Kuytun,RU,54.8,98,44,2.17
283,22.2,92.22,Bandarban,BD,76.49,96,80,2.06
284,34.03,113.82,Xuchang,CN,82.4,88,75,8.95
285,46.19,-123.83,Astoria,US,68.0,77,40,6.93
286,40.33,-91.2,Basco,US,91.4,40,1,14.99
287,56.11,69.47,Ishim,RU,60.74,99,80,8.1
288,10.65,-61.4,Saint Augustine,TT,78.8,88,75,6.93
289,31.68,38.65,Turayf,SA,82.4,48,0,14.99
290,42.79,42.72,Lentekhi,GE,57.86,100,92,1.61
291,62.91,6.91,Bud,NO,59.0,77,40,10.29
292,66.15,-65.72,Pangnirtung,CA,55.4,58,90,13.87
293,45.69,11.7,Tezze sul Brenta,IT,80.6,61,20,13.87
294,14.89,5.26,Tahoua,NE,75.95,83,36,3.62
295,-34.61,-68.33,San Rafael,AR,56.42,26,8,10.45
296,61.94,76.66,Novoagansk,RU,56.87,99,100,7.54
297,17.54,44.22,Najran,SA,91.4,14,32,4.7
298,53.76,-112.78,Lamont,CA,84.86,71,0,4.97
299,68.38,17.6,Beisfjord,NO,55.4,93,75,16.11
300,-5.83,13.46,Matadi,CD,73.97,70,44,5.75
301,-13.74,-72.9,Matara,PE,56.96,43,8,2.39
302,44.08,-80.2,Shelburne,CA,84.2,54,75,10.29
303,9.9,4.41,Wawa,NG,71.81,95,56,5.64
304,-7.04,112.64,Kramat,ID,77.84,91,68,4.85
305,23.6,58.55,Ruwi,OM,84.2,83,48,12.75
306,27.27,31.15,Abnub,EG,87.8,35,0,16.11
307,48.65,-53.11,Bonavista,CA,61.19,81,64,5.3
308,-15.19,12.15,Namibe,AO,66.05,98,12,10.22
309,45.05,34.56,Novikovo,UA,67.67,88,0,8.66
310,-5.09,-81.11,Paita,PE,78.11,58,0,11.79
311,41.28,20.71,Poum,MK,59.84,93,8,0.72
312,64.17,-51.74,Nuuk,GL,57.2,58,20,8.05
313,-3.54,118.97,Majene,ID,81.89,98,68,16.6
314,43.65,111.97,Erenhot,CN,65.96,58,12,10.78
315,35.53,-108.74,Gallup,US,87.8,26,1,9.17
316,-22.43,-151.33,Moerai,PF,73.79,100,0,14.25
317,47.44,-72.79,La Tuque,CA,74.87,63,76,6.31
318,-8.13,112.72,Codo,ID,72.71,98,92,7.2
319,70.86,29.09,Berlevag,NO,48.2,100,75,14.99
320,10.57,72.64,Kavaratti,IN,83.06,95,92,20.51
321,45.31,-93.79,Monticello,US,89.6,42,1,9.17
322,-0.92,100.36,Padang,ID,82.16,100,88,5.19
323,20.93,-17.03,Nouadhibou,MR,71.6,78,20,16.11
324,-2.57,150.8,Kavieng,PG,82.61,100,24,6.76
325,62.16,-7.17,Vestmanna,FO,50.0,87,68,12.75
326,44.83,-0.61,Saint-Augustin,FR,64.4,77,0,5.82
327,40.95,-4.12,Segovia,ES,78.8,27,0,13.87
328,65.58,-170.99,Lavrentiya,RU,45.89,96,100,22.19
329,40.84,8.4,Porto Torres,IT,78.8,83,0,2.24
330,58.6,13.44,Skagen,SE,66.2,63,48,1.16
331,-20.01,57.66,Grand Gaube,MU,66.2,82,40,6.93
332,30.48,76.59,Rajpura,IN,76.22,93,44,2.62
333,29.03,66.58,Kalat,PK,64.16,93,76,1.16
334,-0.19,-74.78,Puerto Leguizamo,CO,82.79,73,12,3.29
335,11.72,122.09,Pandan,PH,83.24,96,92,20.62
336,27.52,-110.01,Laguna,MX,93.2,41,75,2.95
337,52.98,-122.49,Quesnel,CA,75.2,53,1,3.36
338,-16.36,-46.91,Unai,BR,82.43,41,36,3.06
339,24.93,73.82,Nathdwara,IN,71.81,98,44,3.96
340,5.59,-73.79,Cordoba,CO,64.16,45,0,6.2
341,27.18,31.19,Asyut,EG,87.8,35,0,16.11
342,37.46,-122.43,Half Moon Bay,US,91.4,87,1,10.29
343,63.1,7.82,Rensvik,NO,59.0,82,48,3.36
344,25.86,114.93,Ganzhou,CN,73.7,97,20,2.17
345,-20.25,-43.81,Praia,BR,75.2,64,40,5.82
346,61.13,149.63,Ust-Omchug,RU,48.59,86,12,3.4
347,30.3,-99.24,Harper,US,96.8,26,40,4.41
348,-33.01,-68.8,Russell,AR,59.0,38,0,4.7
349,30.04,-94.42,Nome,US,91.4,62,1,6.93
350,5.35,48.53,Hobyo,SO,76.31,85,36,21.74
351,65.95,111.51,Aykhal,RU,48.77,96,92,4.18
352,47.48,-94.89,Bemidji,US,84.2,34,1,12.75
353,-33.73,-70.74,Buin,CL,77.0,13,75,5.82
354,-20.43,-63.28,Boyuibe,BO,71.6,44,0,4.7
355,29.85,80.53,Dharchula,IN,57.41,100,80,0.72
356,4.14,96.13,Meulaboh,ID,78.11,100,36,2.51
357,-30.97,22.13,Carnarvon,ZA,33.65,83,0,13.8
358,-20.01,148.25,Bowen,AU,42.8,93,40,4.7
359,19.1,37.33,Sawakin,SD,83.24,72,0,7.54
360,30.58,-111.1,Caborca,MX,79.01,76,88,4.07
361,7.98,49.82,Eyl,SO,80.36,74,44,23.87
362,32.73,108.99,Ankang,CN,70.28,97,56,1.95
363,60.53,8.21,Geilo,NO,46.25,84,56,2.17
364,-1.57,9.26,Omboue,GA,72.98,100,0,11.56
365,59.32,50.8,Nagorsk,RU,52.82,72,12,9.33
366,-17.83,-149.27,Teahupoo,PF,80.6,69,75,8.05
367,13.98,10.27,Goure,NE,70.73,97,48,9.55
368,44.51,50.26,Fort-Shevchenko,KZ,72.26,100,48,16.82
369,36.75,26.96,Kefalos,GR,78.8,69,0,10.29
370,36.29,-95.15,Salina,US,91.4,48,40,4.7
371,64.73,177.51,Anadyr,RU,42.8,75,0,11.18
372,67.55,63.78,Komsomolskiy,RU,47.42,93,8,10.0
373,39.51,54.36,Balkanabat,TM,86.3,21,32,5.08
374,59.45,29.48,Volosovo,RU,73.4,60,0,11.18
375,-8.9,-35.15,Sao Jose da Coroa Grande,BR,75.14,84,64,7.99
376,64.92,77.78,Tarko-Sale,RU,44.9,91,20,4.52
377,15.46,6.28,Abalak,NE,76.49,74,48,4.63
378,-45.75,170.57,Waitati,NZ,32.93,85,0,2.73
379,-10.62,150.67,Samarai,PG,77.12,100,12,14.81
380,63.92,127.47,Sangar,RU,59.66,67,12,5.19
381,50.63,-96.99,Gimli,CA,80.45,77,0,3.85
382,56.17,107.45,Magistralnyy,RU,40.94,84,0,2.62
383,26.12,127.67,Itoman,JP,84.2,74,20,10.29
384,59.38,13.5,Karlstad,SE,59.0,72,0,2.24
385,-24.87,152.35,Bundaberg,AU,61.19,100,0,10.22
386,10.52,7.44,Kaduna,NG,69.74,98,92,0.38
387,-26.98,-56.83,San Patricio,PY,56.33,64,0,4.07
388,4.94,-52.33,Cayenne,GF,86.0,70,75,12.75
389,48.41,-89.26,Thunder Bay,CA,77.0,69,40,12.75
390,-20.73,139.49,Mount Isa,AU,35.6,55,0,4.74
391,18.42,-64.62,Road Town,VG,87.8,66,40,6.93
392,53.8,-9.52,Westport,IE,54.71,86,92,10.22
393,22.89,-109.91,Cabo San Lucas,MX,86.0,74,75,9.17
394,20.89,-156.47,Kahului,US,82.4,88,90,4.7
395,21.35,-158.09,Makakilo City,US,86.0,70,90,6.93
396,62.58,6.12,Roald,NO,59.0,87,20,3.36
397,48.47,-2.52,Lamballe,FR,57.2,76,0,2.24
398,53.27,-113.81,Calmar,CA,87.8,35,75,3.36
399,6.62,73.07,Kulhudhuffushi,MV,84.59,94,64,15.03
400,52.34,-109.94,Macklin,CA,89.54,46,0,7.54
401,-24.02,-53.44,Alto Piquiri,BR,57.32,66,0,13.8
402,28.17,94.8,Along,IN,69.74,94,68,1.72
403,48.73,-3.46,Lannion,FR,59.0,76,56,9.17
404,-5.11,105.31,Metro,ID,76.4,94,12,3.29
405,60.35,102.28,Vanavara,RU,45.35,87,0,4.07
406,60.4,-1.35,Brae,GB,53.6,76,68,9.17
407,8.0,124.29,Marawi,PH,64.43,97,44,2.73
408,20.08,-104.1,Juchitlan,MX,69.56,91,48,2.95
409,29.74,-97.91,Galle,US,98.6,37,20,13.87
410,-8.26,-49.26,Conceicao do Araguaia,BR,98.6,22,40,4.7
411,50.1,139.13,Vysokogornyy,RU,54.17,85,20,2.95
412,-0.5,117.14,Samarinda,ID,74.06,93,64,2.06
413,41.0,15.66,Melfi,IT,77.0,68,0,8.05
414,50.85,36.44,Yakovlevo,RU,60.8,63,0,6.71
415,28.49,66.26,Surab,PK,67.22,92,68,2.84
416,44.77,-117.83,Baker City,US,102.2,15,1,5.82
417,40.29,97.04,Yumen,CN,66.86,39,24,9.66
418,-18.06,13.84,Opuwo,NA,51.65,59,8,3.29
419,-0.02,109.34,Pontianak,ID,78.83,95,32,7.43
420,10.41,10.6,Bara,NG,72.44,94,76,3.96
421,51.62,73.1,Ereymentau,KZ,68.66,64,12,7.54
422,5.56,95.32,Banda Aceh,ID,75.23,95,44,5.19
423,-2.87,-44.04,Morros,BR,78.8,83,75,2.24
424,46.01,-112.54,Butte,US,87.8,11,1,6.93
425,0.7,108.9,Sungairaya,ID,76.04,94,44,4.74
426,21.43,39.83,Mecca,SA,80.09,52,48,2.39
427,-21.35,165.16,Poya,NC,69.47,100,92,6.64
428,60.91,-46.05,Narsaq,GL,60.8,59,75,4.7
429,45.32,37.28,Golubitskaya,RU,69.8,64,0,11.18
430,31.8,-106.58,Sunland Park,US,89.6,35,90,4.97
431,-34.72,135.86,Port Lincoln,AU,55.88,98,92,19.28
432,58.37,45.52,Sharya,RU,49.49,85,0,2.39
433,-45.87,-67.48,Comodoro Rivadavia,AR,53.6,54,0,3.36
